"origin","destination","airline","flight_num","origin_iata_code","origin_name","origin_latitude","origin_longitude","destination_iata_code","destination_name","destination_latitude","destination_longitude"
"TLC","MTY","4O","104","TLC","Licenciado Adolfo Lopez Mateos International Airport",19.3371,-99.566,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","TLC","4O","119","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"TLC","Licenciado Adolfo Lopez Mateos International Airport",19.3371,-99.566
"MEX","MTY","4O","2100","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2101","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2102","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2103","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2104","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2104","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2104","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2106","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2106","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2107","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2108","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2108","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2108","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2110","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2111","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2111","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2112","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2112","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2113","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2117","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2117","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2117","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2117","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2117","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2118","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2118","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2119","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2119","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2121","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2122","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2126","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2126","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MTY","MEX","4O","2127","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2127","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2129","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2129","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MTY","MEX","4O","2131","MTY","General Mariano Escobedo International Airport",25.7785,-100.107,"MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721
"MEX","MTY","4O","2132","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","MTY","4O","2134","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"MTY","General Mariano Escobedo International Airport",25.7785,-100.107
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
"MEX","TAM","4O","2150","MEX","Licenciado Benito Juarez International Airport",19.4363,-99.0721,"TAM","General Francisco Javier Mina International Airport",22.2964,-97.8659
